2시간 전,주간동아언론사 선정,"‘염블리’ 염승환 “삼성전자, 또 한 번 ‘줍줍’ 기회 왔다”","TSMC와 중국의 관계가 부담스러운 미국 입장에서 삼성전자나 인텔이 잘하면 좋을 수밖에 없다. 인텔보다 삼성전자가 좋은데, 그동안 삼성전자에서 불량품이 너무 많이 나왔다. 10개를 만들면 4~5개가 불량이라 맡기질..."
3시간 전,미디어펜,'비싸도 특별하니까'…식지않는 한정판 인기,"또 기존 제품 대비 데이터 처리 속도가 약 10% 빠른 인텔 11세대 프로세서 타이거레이크R를 적용했고, 인텔의 내장 그래픽 프로세서 아이리스 엑스이도 장착해, 고화질 영상 작업 및 게임 구동 시 빠른 속도로 쾌적한..."
5시간 전,헤럴드경제,반도체戰 승자 예언? GAA에 답 있다[TNA],"‘막차’는 인텔 정도로, 2023년를 목표로 두고 있다. EUV를 뒤이어 새로운, 더 거대한 진입장벽으로... 현재까진 2강 구도이지만, 인텔도 GAA에 뛰어들겠다고 선언한 상태다. 은 내년부터 EUV를 도입, 4nm에..."
5시간 전,이데일리언론사 선정,[뉴욕증시]테이퍼링 우려 완화…3대지수 일제히 상승,"반도체주는 엔비디아(5.14%), AMD(0.92%) 등이 상승한 반면, 마이크론 테크놀러지(-0.07%), 인텔(-0.82%) 등은 하락해 엇갈린 흐름을 보였다. 다우지수에선 시스코(1.66%), 세일즈포스(1.21%), 홈디포(1.96%), 나이키(1.32..."
6시간 전,아주경제,[위클리人] 돌아온 이재용 삼성전자 부회장...우선 순위는 ‘내부 결속’,"실제 인텔은 올해 3월 파운드리 사업에 다시금 도전하겠다는 내용의 ‘IDM 2.0’을 선언했고, 최근에는 퀄컴과 아마존을 고객사로 받아들였다고 발표했다. 글로벌 파운드리 1위인 TSMC도 올해 4월 1분기 실적 발표 당시..."
6시간 전,초이스경제,"""테이퍼링 우려 완화""...미국증시 3대 지수 '상승'","반도체주 가운데 엔비디아(+5.14%), AMD(+0.92%) 등은 상승했고 마이크론 테크놀러지(-0.07%), 인텔(-0.82%) 등은 하락했다. 필라델피아 반도체 지수는 0.64% 올랐다. 또 다우지수에서는 홈디포(+1.96%), 나이키(+1.32..."
7시간 전,머니투데이언론사 선정,"왕좌 앉은 삼성, 되찾으려는 인텔...'푸른 피' 전쟁 시작됐다",삼성전자와 인텔의 반도체 1위 전쟁] '1960년대 후반 '푸른 피'로 태어난 두 혁신 기업 같은 시기에 태어났지만 다른 길을 걸었던 반도체 강자 인텔과 삼성전자가 1위 자리를 놓고 경쟁의 출발선에 섰다. 1968년 7월 미국...
9시간 전,IT조선,[뉴스브리핑] 8월21일…인텔 반도체 M&A추진·페북 반독점 소송·美가상자산 ...,"◇ SK, SK머티리얼즈 품고 첨단소재 파이낸셜스토리 쓴다 ◇ 에픽게임즈, 언리얼 엔진 4.27 출시 ◇ 인텔 CEO, 반도체 M&A 추진 재차 강조 ◇ 美 FTC, 페이스북 반독점 소송 다시 제기 ◇ 美 가상자산 규제 확대 움직임...."
T26면 TOP,중앙SUNDAY,"“반도체 미세공정 2~3나노가 한계, 이젠 3D 소자 연구”","2022년 본격 양산에 돌입.’(8월 4일) ‘인텔, 2024년에 2나노급 ‘20A’ 반도체 양산해 현재 앞서 있는... 버클리대 첸밍후 교수의 연구를 바탕으로 2011년 인텔이 22㎚에서 핀펫(FinFET·Fin field-effect transistor) 구조를..."
12시간 전,더구루,"""자율주행 센서 스타트업 에이아이, 장기 투자 유망주""","제너럴모터스(GM)과 인텔, 스바루, 헬라 등이 사모투자에 참여했다. <본보 2021년 2월 18일자 참고 : 'LG·SK 투자' 美 차량용 센서 스타트업, 나스닥 입성 임박> 에이아이는 미국 항공우주국(NASA) 출신 엔지니어가..."
